Iterations,Treaps,AVL
500, 795, 277
1000, 1519, 486
1500, 2292, 742
3000, 4579, 1498
3500, 5175, 1761
4000, 5803, 1914
4500, 6449, 2136
5000, 7064, 2421
5500, 7782, 2635
6000, 8679, 2926
6500, 9221, 3173
7000, 9855, 3348
7500, 10497, 3612
8000, 11502, 3786
9000, 12637, 4261
9500, 13750, 4559
10000, 14024, 4600
500, 554, 218
1000, 1153, 421
1500, 1742, 636
3000, 3655, 1268
3500, 4345, 1464
4000, 4831, 1718
4500, 5686, 1862
5000, 6350, 2128
5500, 6991, 2405
6000, 7749, 2611
6500, 8341, 2776
7000, 9618, 3109
7500, 9820, 3246
8000, 10792, 3620
9000, 12220, 3966
9500, 12957, 4097
10000, 13930, 4466
500, 581, 208
1000, 1053, 364
1500, 1599, 520
3000, 3351, 1192
3500, 3782, 1274
4000, 4425, 1550
4500, 5096, 1727
5000, 6064, 1995
5500, 6776, 2168
6000, 7655, 2473
6500, 8350, 2606
7000, 9199, 2924
7500, 10032, 3039
8000, 10852, 3426
9000, 12691, 3640
9500, 12472, 4004
10000, 13870, 4076
500, 444, 162
1000, 845, 315
1500, 1444, 480
3000, 3278, 1010
3500, 3701, 1175
4000, 4359, 1394
4500, 5305, 1554
5000, 6680, 1898
5500, 7670, 2079
6000, 8959, 2419
6500, 10295, 2812
7000, 11504, 3097
7500, 13668, 3428
8000, 14331, 3747
9000, 16503, 4358
9500, 17722, 4567
10000, 19072, 4916
